Name,Description
Senet,"Senet is one of the oldest board games known in the world, documented from about 3000 BCE until the first millennium BCE in Egypt. It was also played In Cyprus for most of that time, and played at different times in the Levant. Though a full ruleset has never been found, hints from texts and tomb paintings in Egypt give us clues about the manner in which it was likely played. The game was also heavily imbued with religious significance, as the board itself represented the journey through the afterlife."
"Ludus Latrunculorum","Ludus Latrunculorum ("Game of Robbers") is a game from the Roman Empire, beginning in the final centuries BCE, that appears to have been particularly popular in the Roman military. It is mentioned in various authors such as Ovid, Seneca, and Isidore of Seville. Boards have ben found throughout the areas occupied by the Romans, especially in forts. Boards range in size from 6x7 to 14x14 and are not always exactly square. Glass counters were frequently used as pieces. Some speculation exists that this game developed into later tafl games."
"XII Scripta","XII scripta ("twelve signs") or ludus duodecim scrtiptorum ("game of twelve signs" ) or, later, alea ("dice"), is a Roman game dating to the first cnturies CE that appears to be an ancestor of backgammon. Game boards that the form of 36 symbols, placed in three rows of twelve but divided in the middle by either a gap or other, larger signs, such as circles or rosettes. Sometimes the 36 symbols are letters, forming six six-letter words that form a poem or phrase, often relating to game play. One board, from Ostia, may indicate that game play started in the left hand side of the center row of signs, progressed to the right, went from right to left in the top row, and then left to right in the bottom row. A late epigram of Agathias recounts a game of tabula (generic Roman term for "board game;" backgammon in the Greek world is today known as tavli) that clearly describes a game of backgammon."
Mehen,"Mehen is a game dating to the late fourth millennium through the end of the third millennium in Egypt. It takes the form of a coiled snake that is segmented into spaces, and the board varies in the number of spaces that appear on it. According to a tomb painting from the Tomb of Hesy-Re, there could be up to six players, each playing with a set of six spherical pieces and one lion-shaped piece. Tomb reliefs also show four players playing mehen in some cases. Mehen was also played outside of Egypt, particularly in Cyprus and certain parts of the Levant, and was played in Cyprus for at least 1000 years after it became unpopular in Egypt."
"20 Squares","20 Squares appears for the first time at the beginning of the second millennium BCE. It seems to be derived originally from the the Royal Game of Ur, becoming particularly popular in Iran, the Levant, Egypt, and Cyprus in addition to Mesopotamia during the Late Bronze Age (1700–1050 BCE), and continued being played in Mesopotamia into the Seleucid period, at least until the second century BCE. Two cuneiform tablets which attest to the rules of the game as played in Seleucid times have recently been translated. There has been some discussion over the ancient name of the game. The best argument is made by Wee (2018: 870) who identified the name as É Er-bé-et-ta, "Room Four," which he also finds in other cuneiform tablets. Others have pointed to a Middle Kingdom Egyptian tomb painting at Beni Hasan which may show two men playing the game, accompanied by the caption "iseb" or "aseb" (Crist et al 2016: 85–87). Earlier scholars assumed that a game named "Tjau" mentioned in some Late Period Egyptian texts was this game (e.g., Peterson 1974: 853), but that has been rejected by more recent scholars (Pusch 2007: 84)."
"58 Holes","58 holes was a game popular in ancient Southwest Asia from the second and first millennia BCE. The earliest known board comes from Egypt, but it appears very quickly in widely dispersed places throughout the region very quickly, so an origin somewhere else cannot be ruled out. After the middle of the second millennium BCE, it was mostly played only in Mesopotamia, the Levant, and Iran. The ancient name for the game is unknown. In the center of the board are two parallel lines of ten holes, which are surrounded by an arc of 39-41 holes, typically with a larger or marked square at the apex. Pieces are typically pegs to be inserted into the holes, but in some cases discs, stones, or seeds may be used."
Adugo,"Adugo has been reported among several indigenous groups in Brazil, including the Bororo, Pareci, Guaraní, and the Manchakeri. The game is played on a board which is usually scratched into the earth, with stones or other small objects used as pieces."
Baghchal,"Baghchal is a game popular in Nepal, observed in the twentieth century. This game was played by Buddhist monks in Nepal in 1976, with whom it was said to be particularly popular. It may also be played in India, particularly in places close to Nepal."
"Diviyan Keliya","Diviyan Keliya is a hunt game played in India and Sri Lanka. It has been documented since at least the early twentieth century, but is likely to be much older. It is similar to other hunt games played throughout South Asia."
"Wolf and Sheep","Wolf and Sheep is a hunt game, said to be originally derived from Scandinavian halatafl games. Played on an 8x8 checkerboard and only played on the dark squares."
ArdRi,"ArdRi is purported to be a Scottish tafl game played on a 7x7 grid. It is claimed to be a traditional Scottish game by various sites online, but the validity of this assertion is in question."
Hnefatafl,"Hnefatafl is a Nordic game mentioned frequently in medieval texts from Scandinavia, Iceland, and the British Isles. Hnefatafl appears to be related to a range of other tafl games, in which on side has a king and a smaller number of pawns, situated in the center of the board, playing against an opponent with more pieces. The king's goal is largely thought to be to escape to one of the corners, and the opponent's goal is to capture the king."
Arimaa,"Invented in 2003 by Omar Syed, Arimaa was invented as a Chess variant to be difficult for computers to learn, but easy for humans."
Chess,"Ultimately originates from Indian Chaturanga, arrived in Western Europe during the Middle Ages as Shatranj. Over several centuries, after seeming experimentation with movement, the adoption of the modern movement of the queen and bishop made chess what it is today. Modern Chess appeared sometimes during the fourteenth or fifteenth Century, when the vizier piece was replaced by the queen. It since has become perhaps the most popular game in the world, with massive international competitions."
"Double Chess","Invented in 1916 by Julian S. Grant Hayward, Double Chess is a Chess variant played on a 12x16 board. Each player has two complete sets of Chess pieces starting along the 16 square edge of the board."
Shogi,"Shogi is a capturing game that is native to Japan. Early evidence suggests it was played in some recognizable form during the Heian Period. It has been hugely popular since then in Japan, and today is known throughout the world. It originated ultimately from Indian Chaturanga, like many other games such as Chess, Shatranj, and Xiangqi."
"Skirmish (GDL)","Skirmish, a Chess variant by Alex Landau, has the same rules as Chess, but without checkmate and with a 100 turn limit."
Stratego,"Stratego was created by Jacques Johan Mogendorff before 1942, but was derived from the game L'Attaque, invented by Hermance Edan."
Xiangqi,"Xiangqi, or "Elephant Game," is a Chinese game ultimately derived from Indian Chaturanga. Its exact date of origin is disputed, but it has been popular in China for over a thousand years."
Fanorona,"Fanorona is perhaps the most popular game in Madagascar. It has been documented there since the nineteenth century, but it plays a part in many Malagasy stories about their past so it likely has a much longer history there. It is often played outside, and most households in Madagascar have a Fanorona board in them."
Surakarta,"Surakarta is purported to be from Java in Indonesia, but this claim may have been a marketing ploy by Ravensberger when the game was first published in Germany in 1971."
Alquerque,"First mentioned in the tenth century by the Persian historian Abu al-Faraj al-Isfahani, who calls it "Qirq," a term for merels games. The first description of rules are found in Alfonso X's Libro de los Juegos in 13th century Spain. Many historians consider Alquerque to be an ancestor of Draughts and many other games in cultures that interacted with Islamic peoples or the Spanish."
"Brazilian Draughts","Brazilian Draughts is played in Brazil, and seems to have been invented and popularised in the late nineteenth or early twentieth century there, though its exact origins are not well documented."
"Canadian Draughts","Canadian Draughts is played on a 12x12 checker board and is popular in Canada (particularly Quebec) and was also known to be played in New England. Anecdotally, it is said to have been invented by French settlers to Quebec, but 12x12 boards are known from Europe before this. Played on a 12x12 board with 30 pieces per player. Otherwise, follows the rules of International Draughts."
Dama,"Played in Turkey, Greece, Egypt, the Levant, and other places in Southwest Asia. The game is first documented during the late seventeenth century. It also is played among coastal communities in East Africa and Indian Ocean Islands (such as Comoros), probably through trade with the Ottoman Empire."
